date;conteiner;kg;value_usd;country;english;macro_region;region;goods_type;name_en;all_country_borders_points
26.08.2019;1.0;206250;38775;Малайзия;Malaysia;Азия;Юго-Восточная Азия;азотные;Malaysia;[5.98010916312,117.072018475]
26.08.2019;0.0;686700;188491,52;Монголия;Mongolia;Азия;Восточная Азия;азотные;Mongolia;[46.8355124942,103.069689273]
26.08.2019;0.0;207000;57543,7;Монголия;Mongolia;Азия;Восточная Азия;азотные;Mongolia;[46.8355124942,103.069689273]
26.08.2019;0.0;1203750;226305;Ангола;Angola;Африка;Центральная Африка;азотные;Angola;[-12.3195834883,17.4493337943]
26.08.2019;0.0;25000;31250;Узбекистан;Uzbekistan;Азия;Южная часть Центральной Азии;сложные и комплексные;Uzbekistan;[41.7694206128,63.1208967064]
26.08.2019;0.0;128000;27520;Абхазия;Abkhazia;Азия;Закавказье;азотные;Abkhazia;[43.0478382899,41.0424398634]
26.08.2019;0.0;244800;68434,68;Монголия;Mongolia;Азия;Восточная Азия;азотные;Mongolia;[46.8355124942,103.069689273]
26.08.2019;0.0;25060;15874;Турция;Turkey;Азия;Западная Азия;сложные и комплексные;Turkey;[39.1002805086,34.874882785]
26.08.2019;1.0;181250;38192,44;Коста-Рика;Costa Rica;Америка;Центральная Америка;азотные;Costa Rica;[9.80581668606,-84.2601363294]
26.08.2019;0.0;1024000;278857,76;Румыния;Romania;Европа;Восточная Европа;сложные и комплексные;Romania;[45.810947616,25.0748052568]
26.08.2019;1.0;81250;15031,25;Малайзия;Malaysia;Азия;Юго-Восточная Азия;азотные;Malaysia;[5.98010916312,117.072018475]
26.08.2019;0.0;44000;21797,25;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
26.08.2019;0.0;68000;71808;Азербайджан;Azerbaijan;Азия;Западная Азия;сложные и комплексные;Azerbaijan;[40.314323219,48.0428025986]
26.08.2019;1.0;28000;6000;Малайзия;Malaysia;Азия;Юго-Восточная Азия;азотные;Malaysia;[5.98010916312,117.072018475]
26.08.2019;0.0;2896250;544495;Перу;Peru;Америка;Южная Америка;азотные;Peru;[-10.2727258252,-76.154316298]
26.08.2019;0.0;1872000;552240;Молдова, Республика;Moldova;Европа;Восточная Европа;сложные и комплексные;Moldova;[47.2023352434,28.4649474852]
26.08.2019;0.0;82797;52387,5;Бразилия;Brazil;Америка;Южная Америка;сложные и комплексные;Brazil;[-10.8279176405,-52.8483115037]
26.08.2019;0.0;3056260;861865,32;Китай;China;Азия;Восточная Азия;сложные и комплексные;China;[32.3090710392,104.1375955]
26.08.2019;1.0;20000;4214,34;Таиланд;Thailand;Азия;Юго-Восточная Азия;азотные;Thailand;[14.1518739329,100.898116007]
26.08.2019;1.0;250000;46250;Таиланд;Thailand;Азия;Юго-Восточная Азия;азотные;Thailand;[14.1518739329,100.898116007]
26.08.2019;0.0;288000;82477,69;Литва;Lithuania;Европа;Северная Европа;сложные и комплексные;Lithuania;[55.347247978,23.8004638579]
26.08.2019;0.0;22500;6962,16;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
26.08.2019;0.0;566000;162091,56;Литва;Lithuania;Европа;Северная Европа;сложные и комплексные;Lithuania;[55.347247978,23.8004638579]
26.08.2019;0.0;128000;28160;Молдова, Республика;Moldova;Европа;Восточная Европа;азотные;Moldova;[47.2023352434,28.4649474852]
26.08.2019;0.0;563200;133496;Израиль;Israel;Азия;Западная Азия;азотные;Israel;[31.400520343,34.6743804]
27.08.2019;0.0;333;116,29;Украина;Ukraine;Европа;Восточная Европа;азотные;Ukraine;[49.0653791023,31.3445241453]
26.08.2019;0.0;467500;87890;Мозамбик;Mozambique;Африка;Восточная Африка;азотные;Mozambique;[-14.4237517822,38.343984675]
26.08.2019;0.0;50400;11446,76;Украина;Ukraine;Европа;Восточная Европа;азотные;Ukraine;[49.0653791023,31.3445241453]
26.08.2019;0.0;4332500;814510;Мозамбик;Mozambique;Африка;Восточная Африка;азотные;Mozambique;[-14.4237517822,38.343984675]
26.08.2019;0.0;1872000;552240;Молдова, Республика;Moldova;Европа;Восточная Европа;сложные и комплексные;Moldova;[47.2023352434,28.4649474852]
26.08.2019;0.0;189000;69930;Азербайджан;Azerbaijan;Азия;Западная Азия;сложные и комплексные;Azerbaijan;[40.314323219,48.0428025986]
26.08.2019;0.0;6000000;707511,36;Аргентина;Argentina;Америка;Южная Америка;азотные;Argentina;[-35.9170539154,-65.1049954678]
26.08.2019;0.0;55198;34925;Бразилия;Brazil;Америка;Южная Америка;сложные и комплексные;Brazil;[-10.8279176405,-52.8483115037]
26.08.2019;0.0;8400000;990515,91;Аргентина;Argentina;Америка;Южная Америка;азотные;Argentina;[-35.9170539154,-65.1049954678]
26.08.2019;0.0;414000;144900;Молдова, Республика;Moldova;Европа;Восточная Европа;сложные и комплексные;Moldova;[47.2023352434,28.4649474852]
26.08.2019;0.0;44860;10317,8;Грузия;Georgia;Азия;Западная Азия;азотные;Georgia;[42.3683247351,42.65181635]
26.08.2019;0.0;7000;3574,44;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
26.08.2019;0.0;820000;154160;Ангола;Angola;Африка;Центральная Африка;азотные;Angola;[-12.3195834883,17.4493337943]
26.08.2019;0.0;3920000;1510482,7;Соединенное Королевство;United Kingdom;Европа;Северная Европа;сложные и комплексные;United Kingdom;[52.6410195692,-0.4754437]
26.08.2019;0.0;20545;8541,17;Сербия;Serbia;Европа;Южная Европа;калийные;Serbia;[44.2324489699,20.7914869277]
26.08.2019;1.0;200000;37000;Таиланд;Thailand;Азия;Юго-Восточная Азия;азотные;Thailand;[14.1518739329,100.898116007]
26.08.2019;0.0;40000;33600;Узбекистан;Uzbekistan;Азия;Южная часть Центральной Азии;калийные;Uzbekistan;[41.7694206128,63.1208967064]
26.08.2019;0.0;43000;19466,62;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
26.08.2019;0.0;9450;1890;Узбекистан;Uzbekistan;Азия;Южная часть Центральной Азии;азотные;Uzbekistan;[41.7694206128,63.1208967064]
26.08.2019;0.0;252000;93240;Азербайджан;Azerbaijan;Азия;Западная Азия;сложные и комплексные;Azerbaijan;[40.314323219,48.0428025986]
27.08.2019;1.0;10000;150000;Вьетнам;Vietnam;Азия;Юго-Восточная Азия;сложные и комплексные;Vietnam;[9.58382510296,105.90742175]
27.08.2019;0.0;202600;64832;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
27.08.2019;0.0;22500;4185;Либерия;Liberia;Африка;Западная Африка;азотные;Liberia;[6.32996015995,-9.34876519206]
